id_cliente,CLV,mu_j
234,82443.60327455937,1.2222222221950616
254,649689.6718181818,1.0
260,10915.267356867602,1.499999999925
278,29531.554841557947,1.024390243892445
285,101848.0193181818,1.0
309,329997.1587295536,1.0238095238582767
311,16454.657142857144,1.3333333333333333
322,392353.35068181815,1.0
386,63976.82882729949,1.1612903225956295
445,609398.2488888889,1.0
450,589589.3338636364,1.0
451,126320.00413230287,1.1052631578481995
513,548529.2777272727,1.0
613,22685.01125,4.0
627,19228.368169307785,1.1052631578481995
641,379500.75423607934,1.3548387096686785
649,41477.88139010745,1.6153846155088756
738,54314.21037138303,1.048780487797204
1532,61818.97263066333,1.0400000000416
1545,385842.8293023256,1.0
1598,125332.53294834586,1.138888888873071
1609,116542.38947213032,1.2666666666835555
1616,1071963.9867567567,1.0
1689,276174.6239704412,1.4799999999467202
1760,870813.1789473684,1.0
1869,139203.42069767442,1.0
1879,717624.9370454545,1.0
1894,91917.97422681813,1.499999999925
1923,164602.80045454545,1.0
1964,108908.95574086506,1.7727272727353305
2043,534006.1076744186,1.0
2050,18411.723529411764,1.0
2131,124756.86350773329,1.10256410254714
2165,168889.93386363637,1.0
2295,551756.5517371491,1.048780487797204
2303,224654.75118282242,1.181818181753719
2360,842507.6720454545,1.0
2441,311697.99704545457,1.0
2708,210910.81844263215,2.3333333331777775
2711,448586.12875,1.0
2848,46235.919255120745,1.1499999999885
2867,1193674.7925,1.0
2907,3033.6350001654714,1.181818181753719
2918,1670.364155983353,1.8333333331805555
2919,526.1297143207896,1.5555555554518519
2930,18432.773333333334,1.1428571428571428
2957,109275.22666276398,1.0714285714668368
3035,584376.28875,1.0
3061,137086.0,1.0
6605,118476.5239301929,1.4333333333428888
6616,37491.04490590777,1.200000000048
6619,84661.78021134321,1.1351351350737766
6623,89660.90909090909,1.0
6627,206024.39340909093,1.0
6628,386367.25295454543,1.0
6634,29178.423025,1.0526315789473684
6639,298670.82957582886,1.048780487797204
6642,7203.712730072085,1.5555555554518519
6649,226851.0043181818,1.0
6658,864443.7743181818,1.0
6676,65756.15030814572,1.076923076889941
6681,290812.8365909091,1.0
6682,83659.14642857143,1.3333333333333333
6685,133227.63432424408,1.1351351350737766
6697,2470197.298921724,1.10256410254714
6700,96772.12139534885,1.0
6703,65404.05536190971,1.343750000020996
6704,193780.31181818183,1.0
6716,349812.00795454544,1.0
6745,445442.50522727275,1.0
6747,170505.20246251725,1.1666666667249999
6750,617291.6604545454,1.0
6751,1683893.5030232556,1.0
6752,273854.55255813955,1.0
6753,250666.3800178473,1.1714285714084898
6766,788382.5038636364,1.0
6772,28012.977931728346,1.3548387096686785
6803,48533.81407474782,1.2727272727504133
6807,1004171.6499792237,1.0238095238582767
6809,244052.03022727274,1.0
6810,374260.9965116279,1.0
6816,528790.3252272727,1.0
6821,189081.88818181818,1.0
6826,35801.767271178986,1.3666666666165554
6831,7554.470231125977,2.1176470589231835
6833,6402.899998719419,5.6666666678
6842,1029050.5602272727,1.0
6846,225038.02100694447,1.1428571428571428
6869,408549.2189150453,1.0789473684125346
6870,20038.64463561162,1.448275862019025
6874,202768.66009851088,1.0238095238582767
6876,600062.62,1.0
6885,685188.7802272727,1.0
6901,422533.38636363635,1.0
6907,,
6919,278017.23409090907,1.0
6935,37823.85348837209,1.0
6939,80945.15365296199,1.2916666666451389
6940,173135.1707651465,1.0238095238582767
6948,60808.45683086458,1.0294117647361591
6949,50552.28958333333,1.6
6955,81558.44,1.0
6962,269454.1015909091,1.0
6964,91375.61003404127,1.1666666667249999
6966,70425.80859375,1.0666666666666667
6967,68223.61184502949,4.50000000045
6970,898749.9711977934,1.1052631578481995
6971,15527.811739130435,1.0
6972,56797.672000000006,1.0
6984,9399.057394736841,2.2222222222222223
6988,1495083.2988636363,1.0
6994,56067.79372934436,1.049999999979
6995,,
6996,12522560.253636362,1.0
7009,438151.6816279069,1.0
7010,1525.9030301504401,2.750000000275
7013,565297.5195348837,1.0
7014,18459.94754844327,1.0263157894304709
7124,6503.086666991821,1.499999999925
7130,162604.60270833335,1.1428571428571428
7137,864562.7658984574,1.024390243892445
7138,327399.07113636367,1.0
7141,10705.9996875,2.6666666666666665
7154,3404199.8072727276,1.0
7173,20821.6967386866,1.3125000000082032
7181,49828.72047101798,1.048780487797204
7184,20319.13477199692,1.3225806451186264
7236,74198.08933618713,1.153846153801775
7240,391317.00123397645,1.024390243892445
7247,904391.7170454544,1.0
7256,365436.14410749153,1.0909090908694214
7264,1177670.1809302326,1.0
7267,703292.58,1.0
7292,80448.5336661479,1.048780487797204
7293,856686.8702272727,1.0
7299,368137.56136363634,1.0
7328,61698.055335069046,1.024390243892445
7335,8942.363655038469,4.333333332755555
7347,161038.01545454544,1.0
7351,53043.423457538076,1.2058823529163494
7354,43424.10090909091,1.0
7364,1699841.9104545454,1.0
7377,89112.12984434268,1.448275862019025
7388,136052.1159102564,1.0526315789473684
7391,134909.17375,1.0
7401,356308.62613636366,1.0
7415,108999.10159090908,1.0
7416,215129.9355463165,1.024390243892445
7428,190362.25526053246,1.448275862019025
7430,65325.48029221345,1.8750000001171876
7433,74491.35739257165,1.048780487797204
7435,,
7438,20290.97168965517,1.4285714285714286
7451,98320.293919281,1.030303030296786
7471,187270.63920146634,1.0238095238582767
7510,79498.96727272727,1.0
7516,387067.5877963332,1.3749999999484375
7522,38851.06197241439,1.1944444444809414
